name,v_nom,Nemotecnico,Name Node,x,y,FID,wkt_geom,taxonomy,bus,p_nom,carrier,Synchronous Reactance Xd - Ohms,Assumption,p_factor,Plant Name Database,Plant Name Database 2,Barra i,Barra j,Row,Line
,,,ACAPULCO,,,30,Point (-71.55301316965488923 -33.01357757376030833),Consumer,,,,,,,,,,,,
,,,ACHUPALLAS,,,33,Point (-71.49296080849860857 -33.02382174747796029),Consumer,,,,,,,,,,,,
,,,AGUA SANTA,,,73,Point (-71.57658487949008475 -33.04443707955135778),Consumer,,,,,,,,,,,,
,,,AGUA SANTA - 1,,,90,Point (-71.54177314361746198 -33.09284304180564362),Consumer,,,,,,,,,,,,
,,,AGUA SANTA - 2,,,79,Point (-71.55311196434604426 -33.06258591412942849),Consumer,,,,,,,,,,,,
,,,AGUAS BUENAS,,,151,Point (-71.59959896448211225 -33.59326609048763856),Consumer,,,,,,,,,,,,
,,,AGUAS CLARAS,,,171,Point (-70.84374848793025592 -33.310438523088024),Consumer,,,,,,,,,,,,
,,,ALEJANDRO NAVARRETE,,,24,Point (-71.52823844079296123 -32.98746098377920788),Consumer,,,,,,,,,,,,
,,,ALGARROBO,,,129,Point (-71.65504675117689715 -33.36356923136444408),Consumer,,,,,,,,,,,,
,,,ALGARROBO NORTE,,,154,Point (-71.62678327536663403 -33.30423206434822703),Consumer,,,,,,,,,,,,
,,,ALVAREZ,,,51,Point (-71.54886301900351953 -33.03139577114684045),Consumer,,,,,,,,,,,,
,,,ARLEGUI,,,34,Point (-71.56105966384050987 -33.02270581515000458),Consumer,,,,,,,,,,,,
,,,ARTIFICIO,,,167,Point (-71.1887980781675509 -32.77297051531107286),Consumer,,,,,,,,,,,,
,,,BALANDRAS,,,172,Point (-71.68192148751246862 -33.37815240173122078),Consumer,,,,,,,,,,,,
,,,BARON,,,72,Point (-71.59900345121137377 -33.04340487019683792),Consumer,,,,,,,,,,,,
,,,BARRANCAS,,,209,Point (-71.62930287297086807 -33.64209731557851768),Consumer,,,,,,,,,,,,
,,,BATUCO,,,193,Point (-70.84853426122624853 -33.24765789369958213),Consumer,,,,,,,,,,,,
,,,BOCO,,,176,Point (-71.26450704830908478 -32.863548762612254),Consumer,,,,,,,,,,,,
,,,BOSQUE,,,96,Point (-71.55439627432147631 -33.12216810750950202),Consumer,,,,,,,,,,,,
,,,BRASIL,,,71,Point (-71.60876626935464628 -33.0433647273592328),Consumer,,,,,,,,,,,,
,,,CAMPICHE,,,165,Point (-71.48466236274173013 -32.72837559033826693),Consumer,,,,,,,,,,,,
,,,CARTAGENA,,,132,Point (-71.59186680086729382 -33.54972421322937493),Consumer,,,,,,,,,,,,
,,,CASABLANCA,,,135,Point (-71.40942381998176813 -33.3300627047457354),Consumer,,,,,,,,,,,,
,,,CHOROMBO,,,211,Point (-71.25774549730716956 -33.50442952165555255),Consumer,,,,,,,,,,,,
,,,COLINA,,,206,Point (-70.70327872307682071 -33.20498846006913851),Consumer,,,,,,,,,,,,
,,,CONCON,,,10,Point (-71.48001314451207122 -32.92551382470023214),Consumer,,,,,,,,,,,,
,,,CUNCUMEN,,,143,Point (-71.48625793448992738 -33.69953154023419728),Consumer,,,,,,,,,,,,
,,,CURACAVI,,,203,Point (-71.14275959522875326 -33.39620547403148265),Consumer,,,,,,,,,,,,
,,,CURAUMA,,,94,Point (-71.58033752569966168 -33.11948742033719384),Consumer,,,,,,,,,,,,
,,,CURAUMA - 1,,,97,Point (-71.57184488282369728 -33.11301795037342544),Consumer,,,,,,,,,,,,
,,,EL ALGARROBAL,,,191,Point (-70.71848314872667629 -33.31333492490961845),Consumer,,,,,,,,,,,,
,,,EL ASIENTO,,,198,Point (-70.9289370373659267 -33.08546727121301245),Consumer,,,,,,,,,,,,
,,,EL BOSQUE,,,31,Point (-71.541802866117294 -33.01099583738675847),Consumer,,,,,,,,,,,,
,,,EL CARMEN,,,45,Point (-71.38422824701383718 -33.03568738803963356),Consumer,,,,,,,,,,,,
,,,EL RINCON,,,64,Point (-71.35206392995615943 -33.05300765400784258),Consumer,,,,,,,,,,,,
,,,EL ROSARIO,,,164,Point (-71.459452371371043 -33.50029582243737281),Consumer,,,,,,,,,,,,
,,,EL SOL,,,63,Point (-71.46365020743735386 -33.05100947569103198),Consumer,,,,,,,,,,,,
,,,EL TABO,,,128,Point (-71.64387969792723254 -33.45778056200853712),Consumer,,,,,,,,,,,,
,,,EL TURCO,,,144,Point (-71.44772644233049164 -33.74058518139488427),Consumer,,,,,,,,,,,,
,,,EXPRESO BAQUEDANO,,,66,Point (-71.60611498688190579 -33.04830530873645245),Consumer,,,,,,,,,,,,
,,,EXPRESO RPC,,,7,Point (-71.48431082362480993 -32.89861582075801749),Consumer,,,,,,,,,,,,
,,,FERROCARRIL,,,200,Point (-71.33250229412674059 -32.96683586789451681),Consumer,,,,,,,,,,,,
,,,FORESTAL,,,47,Point (-71.53942480859933539 -33.03875191679259871),Consumer,,,,,,,,,,,,
,,,FRANCIA,,,59,Point (-71.61261268840546279 -33.04783456332572911),Consumer,,,,,,,,,,,,
,,,FREIRE,,,74,Point (-71.39391803988988272 -33.0478100376191577),Consumer,,,,,,,,,,,,
,,,GLORIAS NAVALES,,,27,Point (-71.48815742141954388 -32.99492095517275203),Consumer,,,,,,,,,,,,
,,,GOMEZ CARRENO,,,28,Point (-71.50698222223655875 -32.99413842974907851),Consumer,,,,,,,,,,,,
,,,GRANIZO,,,182,Point (-71.142591424722184 -33.01922188240313005),Consumer,,,,,,,,,,,,
,,,HIGUERILLAS,,,11,Point (-71.49969629709640628 -32.92536730622885699),Consumer,,,,,,,,,,,,
,,,HIJUELAS,,,207,Point (-71.14909901990287722 -32.80952283180995011),Consumer,,,,,,,,,,,,
,,,HIPODROMO,,,179,Point (-71.26343813973137742 -33.02236499333722008),Consumer,,,,,,,,,,,,
,,,HUANHUALI,,,65,Point (-71.36632663889751882 -33.04948635901540399),Consumer,,,,,,,,,,,,
,,,HUENCHUN,,,145,Point (-71.24762684816012381 -33.71673877363677718),Consumer,,,,,,,,,,,,
,,,INDEPENDENCIA,,,61,Point (-71.62028617919635565 -33.0490854563039278),Consumer,,,,,,,,,,,,
,,,JORGE MONTT,,,23,Point (-71.5411234397473379 -32.9863388473867829),Consumer,,,,,,,,,,,,
,,,LA CRUZ,,,208,Point (-71.23086533081658445 -32.80339806986378193),Consumer,,,,,,,,,,,,
,,,LA DORMIDA,,,186,Point (-71.08973702688271601 -33.08449429007298193),Consumer,,,,,,,,,,,,
,,,LA PALMILLA,,,169,Point (-71.2197924772635389 -32.85564202118604271),Consumer,,,,,,,,,,,,
,,,LA POLVORA,,,81,Point (-71.64477104542281438 -33.05589636276027221),Consumer,,,,,,,,,,,,
,,,LA TRINIDAD,,,184,Point (-71.23331037153215561 -33.05581841291687084),Consumer,,,,,,,,,,,,
,,,LA VINILLA,,,161,Point (-71.29989546914758591 -33.37208843549861825),Consumer,,,,,,,,,,,,
,,,LAGUNILLAS,,,163,Point (-71.43215764009913471 -33.44476205600513197),Consumer,,,,,,,,,,,,
,,,LAS CRUCES,,,131,Point (-71.6132978710545558 -33.49986650626627949),Consumer,,,,,,,,,,,,
,,,LAS CUCHARAS,,,69,Point (-71.49674600961895976 -33.05395671848391714),Consumer,,,,,,,,,,,,
,,,LAS DICHAS,,,156,Point (-71.49675511299740549 -33.30093625765975673),Consumer,,,,,,,,,,,,
,,,LAS MAZAS,,,174,Point (-70.90407249237658505 -32.88234743804996185),Consumer,,,,,,,,,,,,
,,,LAS PALMAS,,,140,Point (-71.42577684584044562 -33.56159922027311637),Consumer,,,,,,,,,,,,
,,,LAS PINATAS,,,204,Point (-71.62051147941132001 -33.38922439691749844),Consumer,,,,,,,,,,,,
,,,LEYDA,,,139,Point (-71.40791426453131407 -33.62585101099924145),Consumer,,,,,,,,,,,,
,,,LILENES,,,18,Point (-71.53862479046001965 -32.93605308772041695),Consumer,,,,,,,,,,,,
,,,LIRAY,,,205,Point (-70.78159867957486995 -33.21140558268731979),Consumer,,,,,,,,,,,,
,,,LLAILLAY,,,173,Point (-70.98316815168431049 -32.83781170450677678),Consumer,,,,,,,,,,,,
,,,LLOLLEO,,,199,Point (-71.60283920813564862 -33.61472003223984473),Consumer,,,,,,,,,,,,
,,,LO AGUIRRE,,,188,Point (-70.85449518336378105 -33.45479963764708486),Consumer,,,,,,,,,,,,
,,,LO OROZCO,,,158,Point (-71.42926036230750242 -33.2481290383132233),Consumer,,,,,,,,,,,,
,,,LO ORREGO,,,162,Point (-71.42464728632374715 -33.39056114764772332),Consumer,,,,,,,,,,,,
,,,LO OVALLE,,,159,Point (-71.35538263062846909 -33.26896175961880431),Consumer,,,,,,,,,,,,
,,,LONCURA,,,5,Point (-71.43237127302749911 -32.81079503640772543),Consumer,,,,,,,,,,,,
,,,LUMBRERAS,,,147,Point (-71.28899357567613038 -33.63971035601078796),Consumer,,,,,,,,,,,,
,,,MAITENES,,,6,Point (-71.51190083050541091 -32.8087309384415633),Consumer,,,,,,,,,,,,
,,,MALLARAUCO,,,150,Point (-71.12915417339216617 -33.57915428100419319),Consumer,,,,,,,,,,,,
,,,MALVILLA,,,142,Point (-71.48316178975262858 -33.60078068696831366),Consumer,,,,,,,,,,,,
,,,MANANTIALES,,,9,Point (-71.51927701812671501 -32.92514675213254804),Consumer,,,,,,,,,,,,
,,,MARGA MARGA,,,78,Point (-71.40533731736005052 -33.06094276043577906),Consumer,,,,,,,,,,,,
,,,MELIPILLA,,,146,Point (-71.20665527921669025 -33.67741044216179347),Consumer,,,,,,,,,,,,
,,,MONTEMAR,,,22,Point (-71.53252605473250014 -32.96629958528816218),Consumer,,,,,,,,,,,,
,,,MONTENEGRO,,,197,Point (-70.79696595008773841 -32.96020996192265073),Consumer,,,,,,,,,,,,
,,,NOGALES,,,166,Point (-71.26259661183630101 -32.73661285069240279),Consumer,,,,,,,,,,,,
,,,NUEVO PORVENIR,,,192,Point (-70.81990494068507758 -33.28734524172217135),Consumer,,,,,,,,,,,,
,,,OLMUE,,,181,Point (-71.2150374036685605 -32.99553187067662918),Consumer,,,,,,,,,,,,
,,,PACHACAMA,,,170,Point (-71.0791197201948961 -32.8544278546330446),Consumer,,,,,,,,,,,,
