name,v_nom,Nemotecnico,Name Node,x,y,wkt_geom,FID,Name Node,taxonomy,bus,p_nom,carrier,Synchronous Reactance Xd - Ohms
787,110,SE012R003,S/E LOS PLACERES,259243.9996,6340324.018,Point (-71.57871095498178704 -33.04914041408741099),76,S/E LOS PLACERES,Substation,,,,
137,110,SE137T005,S/E MARGA MARGA,262156.9996,6343141.017,Point (-71.54627429537879379 -33.024397802734903),36,S/E MARGA MARGA,Substation,,,,
949,110,SE001L002,S/E MAUCO,266626.9997,6353949.017,Point (-71.49586125544556126 -32.92783632822377626),14,S/E MAUCO,Substation,,,,
788,110,SE013R003,S/E MIRAFLORES,264152.9996,6342019.017,Point (-71.52544617220935663 -33.03463728253803566),53,S/E MIRAFLORES,Substation,,,,
605,220,SE054T002,S/E NOGALES,291310.9998,6377579.015,Point (-71.2267323870285054 -32.7198333063834923),120,S/E NOGALES,Boundary Substation,,,,
240,220,SE001G049,S/E NUEVA VENTANAS,267420.8876,6373795.045,,9220,,Substation,,,,
1757,110,SE058R003,S/E PENABLANCA,282595.16,6341009.45,Point (-71.32827387541559006 -33.04775292920685814),103,S/E PENABLANCA,Substation,,,,
790,110,SE048R003,S/E PLACILLA (CHILQUINTA),261243.00,6333777.00,,93,S/E PLACILLA (CHILQUINTA),Substation,,,,
791,110,SE014R003,S/E PLAYA ANCHA,252673.9995,6340781.018,Point (-71.64808587949109153 -33.04329906213347812),77,S/E PLAYA ANCHA,Substation,,,,
711,220,SE089R002,S/E POLPAICO (ENEL DISTRIBUCION),326527,6325409,Point (-70.86099781700048084 -33.19629168899995619),119,S/E POLPAICO (ENEL DISTRIBUCION),Boundary Substation,,,,
711_525kV,525,SE089R002,S/E POLPAICO 525  (ENEL DISTRIBUCION),326529,6325409,,227,,Boundary Substation,,,,
586,220,SE032T002,S/E QUILLOTA,289742.9998,6351736.016,Point (-71.24932104559027835 -32.95247527472327675),20,S/E QUILLOTA,Boundary Substation,,,,
586_110kV,110,SE032T002,S/E QUILLOTA 110kV,289744.9998,6351736.016,,228,,Boundary Substation,,,,
792,110,SE015R003,S/E QUILPUE,273680.9997,6341660.017,Point (-71.42402258594835018 -33.03939489984662714),52,S/E QUILPUE,Substation,,,,
792_44kV,44,SE015R003,S/E QUILPUE 44KV (SEAT El SOL),273682.9997,6341660.017,,229,,Substation,,,,
793,66,SE016R003,S/E QUINTAY,252068.9995,6322344.018,,99,,Substation,,,,
794,110,SE046R003,S/E QUINTERO,267291,6373561,Point (-71.48383224746909548 -32.75123506990528455),125,S/E QUINTERO,Substation,,,,
795,110,SE042R003,S/E RENACA,263683.9996,6348069.017,Point (-71.52904948052116652 -32.98003915292494526),25,S/E RENACA,Substation,,,,
798,66,SE019R003,S/E SAN ANTONIO,258481.9996,6279006.018,Point (-71.60286080997840941 -33.60135790482607376),109,S/E SAN ANTONIO,Substation,,,,
798_110kV,110,SE019R003,S/E SAN ANTONIO 110 kV,258483.9996,6279006.018,,230,,Substation,,,,
848,66,SE003R020,S/E SAN JERONIMO,258646.9996,6304924.018,Point (-71.59418999999999755 -33.36787999999999954),194,S/E SAN JERONIMO,Substation,,,,
615,220,SE001T001,S/E SAN LUIS,283397.9998,6353225.016,,19,,Substation,,,,
204,110,SE001T048,S/E SAN PEDRO (AES GENER),288289.9998,6353544.016,Point (-71.26443905191784722 -32.93589828865894731),15,S/E SAN PEDRO (AES GENER),Substation,,,,
802,66,SE023R003,S/E SAN SEBASTIAN,258725.9996,6288229.018,Point (-71.59762553700555543 -33.51805018999986885),107,S/E SAN SEBASTIAN,Substation,,,,
1746,220,SE102T002,S/E SECCIONADORA LO AGUIRRE,323593.9979,6298316.994,Point (-70.89773499782850763 -33.44005087616118743),117,S/E SECCIONADORA LO AGUIRRE,Boundary Substation,,,,
1746_525kV,525,SE102T002,S/E SECCIONADORA LO AGUIRRE 525kV,323595.9979,6298316.994,,231,,Boundary Substation,,,,
1128,44,SE002L068,S/E SER EL SALTO,264966,6341056,,9214,,Substation,,,,
1130,44,SE004L068,S/E SER PORTALES,258002.154,6342108.536,Point (-71.59113817999336504 -33.03265712469414694),9213,S/E SER PORTALES,Substation,,,,
1129,44,SE003L068,S/E SER VILLA ALEMANA,278353.243,6341498.943,Point (-71.3717880000029794 -33.04240599999999972),127,S/E VILLA ALEMANA,Substation,,,,
206,110,SE002T048,S/E TORQUEMADA,268886.9997,6353071.017,Point (-71.47218608101267989 -32.93507350880155116),16,S/E TORQUEMADA,Substation,,,,
804,110,SE025R003,S/E VALPARAISO,255203.9996,6339521.018,Point (-71.62210349111767016 -33.05554877955423621),85,S/E VALPARAISO,Substation,,,,
207,110,SE008G010,S/E VENTANAS,267489.9997,6373804.017,Point (-71.48095708179964447 -32.7495040004676099),1,S/E VENTANAS,Substation,,,,
207_220kV,220,SE008G010,S/E VENTANAS 220KV,267491.9997,6373804.017,,232,,Substation,,,,
62T,220,LT007CI2----TA01R003,TAP ALTO MELIPILLA 220,293553.469,6269516.844,Point (-71.22749038100184293 -33.69385456099994514),116,TAP ALTO MELIPILLA,Boundary Tap,,,,
26T,110,LT035CI2----TA01R002,TAP BATUCO,338776.019,6317697.392,Point (-70.73101548858794274 -33.26771412303526887),121,TAP BATUCO,Tap,,,,
1098,110,SE026R003,TAP OFF ACHUPALLAS,265022.9996,6342216.017,Point (-71.51599810365799215 -33.03321869799925992),54,TAP OFF ACHUPALLAS,Tap,,,,
1099,66,SE027R003,TAP OFF ALGARROBO,258704.9996,6304901.018,Point (-71.59349171868623785 -33.36808462814969545),105,TAP OFF ALGARROBO,Tap,,,,
1552,110,SE003L076,TAP OFF CODELCO VENTANAS,269001.973,6372078.736,Point (-71.46595663665455334 -32.76495201633841958),102,TAP OFF CODELCO VENTANAS,Tap,,,,
1114,66,SE004R020,TAP OFF EL MANZANO (LITORAL),254802.9995,6303449.018,Point (-71.6357878113106068 -33.38028452500176968),111,TAP OFF EL MANZANO (LITORAL),Tap,,,,
1102,110,SE004T048,TAP OFF PACHACAMA,298360.9998,6362677.015,Point (-71.15427999999999997 -32.85564000000000107),202,TAP OFF PACHACAMA,Boundary Tap,,,,
995,110,SE003T048,TAP OFF PUNTA PEUCO,329534.0699,6334037.054,Point (-70.82610740650784464 -33.11902589254604834),126,TAP PUNTA PEUCO,Boundary Tap,,,,
1106,66,SE034R003,TAP OFF QUINTAY,254361.9995,6321332.018,Point (-71.63567005096201967 -33.21905181395319318),100,TAP OFF QUINTAY,Tap,,,,
65T,110,LT002CI2----TA01R003,TAP PLACERES,260082.745,6338901.19,Point (-71.5698881848464481 -33.06175195636600961),86,TAP PLACERES,Tap,,,,
66T,110,LT002CI2----TA02R003,TAP PLAYA ANCHA,254550.854,6337524.004,Point (-71.62928551564051816 -33.07319473060761794),88,TAP PLAYA ANCHA,Tap,,,,
67,110,SE015R003T,TAP QUILPUE,272690.438,6345105.143,Point (-71.43214994081861846 -33.00781498193698127),32,TAP QUILPUE,Tap,,,,
69T,110,LT015CI1----TA01R003,TAP RENACA,266449.556,6347986.265,Point (-71.49910750082209177 -32.98159510031134545),26,TAP RENACA,Tap,,,,
73T,66,LT009CI2----TA03R003,TAP SAN SEBASTIAN,260022.097,6289060.228,Point (-71.58362182538607499 -33.51106865027216486),108,TAP SAN SEBASTIAN,Tap,,,,
74T,110,LT002CI2----TA03R003,TAP VALPARAISO,254704.999,6337722,Point (-71.62766297527190318 -33.07149340916362235),89,TAP VALPARAISO,Tap,,,,
161,,,COLMITO,268676.0007,6353715.971,Point (-71.47402399983266719 -32.93037199989884556),13,COLMITO,Power Plant,291,57.71,Diesel,5.625033333
112,,,NUEVA VENTANAS,267351.4717,6373720.294,Point (-71.4823467562058994 -32.74918499402730987),0,S/E NUEVA VENTANAS,Power Plant,240,248.99,Brown Coal,2.804029412
577,,,TER PLACILLA U1,261225.1163,6333821.44,,278,,Power Plant,790,1.2,Diesel,0.361
578,,,TER PLACILLA U2,261225.1163,6333821.44,,279,,Power Plant,790,1.2,Diesel,0.361
579,,,TER PLACILLA U3,261225.1163,6333821.44,,280,,Power Plant,790,0.6,Diesel,0.722
580,,,TER QUINTAY U1,252104.2703,6322349.991,,284,,Power Plant,793,1.2,Diesel,0.361
581,,,TER QUINTAY U2,252104.2703,6322349.991,,285,,Power Plant,793,1.2,Diesel,0.361
582,,,TER QUINTAY U3,252104.2703,6322349.991,,286,,Power Plant,793,0.6,Diesel,0.722
762,,,TER QUINTERO U1,267224.033,6369582.02,,276,,Power Plant,256,127.104,Diesel,2.903736728
763,,,TER QUINTERO U2,267224.033,6369582.02,,277,,Power Plant,256,128.097,Diesel,2.903736728
568,,,TER CONCON U1,268664.08,6353411.1,,281,,Power Plant,780,1.1,Diesel,0.327994286
569,,,TER CONCON U2,268664.08,6353411.1,,282,,Power Plant,780,0.6,Diesel,0.430312
570,,,TER CONCON U3,268664.08,6353411.1,,283,,Power Plant,780,0.6,Diesel,0.430312
236,,,CAMPICHE,267333.8449,6373888.096,,266,,Power Plant,240,248.99,Brown Coal,2.811176471
327,,,TER LAGUNA VERDE TV U1,250127,6334104,,263,,Power Plant,200,15.08,Diesel,13.1875
328,,,TER LAGUNA VERDE TV U2,250127,6334104,,264,,Power Plant,200,23.497,Diesel,9.125
741,,,LAGUNA VERDE TG,250164.9612,6334088.016,,265,,Power Plant,200,23.497,Diesel,13.5424
,,,EL SALTO,,,Point (-71.51702226881268132 -33.05071255741885494),68,EL SALTO,Consumer,,,,
,,,SALINAS,,,Point (-71.50932751962668021 -33.01380959298430895),29,SALINAS,Consumer,,,,
,,,SAN ANTONIO,,,Point (-71.60232802228325966 -33.57471299370843809),133,SAN ANTONIO,Consumer,,,,
,,,SAN DIEGO,,,Point (-71.39100103537505504 -33.69623931908133585),141,SAN DIEGO,Consumer,,,,
,,,SAN ISIDRO,,,Point (-71.21517896124572644 -32.90381111432234462),152,SAN ISIDRO,Consumer,,,,
,,,SAN JOSE,,,Point (-71.22521646822490027 -33.59788690226762498),149,SAN JOSE,Consumer,,,,
,,,SAN JUAN,,,Point (-71.61273629545210895 -33.65375119918739699),136,SAN JUAN,Consumer,,,,
,,,SAN PEDRO,,,Point (-71.22127904904142781 -32.95223889254521055),177,SAN PEDRO,Consumer,,,,
,,,SANTA AUGUSTA,,,Point (-71.66750421007843386 -33.10615530478393964),91,SANTA AUGUSTA,Consumer,,,,
,,,SANTA EMILIA,,,Point (-71.10428243356911082 -33.47962973851235091),153,SANTA EMILIA,Consumer,,,,
,,,SANTO DOMINGO,,,Point (-71.54713078011808136 -33.57148722760917536),138,SANTO DOMINGO,Consumer,,,,
,,,SANTOS OSSA,,,Point (-71.57796141837359016 -33.05897294221016125),80,SANTOS OSSA,Consumer,,,,
,,,SAUCE,,,Point (-71.6303362062649569 -33.0533021023431175),60,SAUCE,Consumer,,,,
,,,SAUSALITO,,,Point (-71.53044046689433344 -33.02176916234756021),35,SAUSALITO,Consumer,,,,
,,,SIMON BOLIVAR,,,Point (-71.5484424373528185 -33.04428356008924084),67,SIMON BOLIVAR,Consumer,,,,
,,,SIMON BOLIVAR - 1,,,Point (-71.56368033328524803 -33.0608927173543421),83,SIMON BOLIVAR - 1,Consumer,,,,
,,,TABOLANGO,,,Point (-71.44092969440774255 -32.93323054749752288),8,TABOLANGO,Consumer,,,,
,,,TABOLANGO - 1,,,Point (-71.3922035567137101 -32.93470725986441039),17,TABOLANGO - 1,Consumer,,,,
,,,TAPIHUE,,,Point (-71.28701379228600388 -33.30546646269837652),160,TAPIHUE,Consumer,,,,
,,,TOMAS RAMOS,,,Point (-71.65424652187847698 -33.04116078075136897),42,TOMAS RAMOS,Consumer,,,,
,,,TOMAS RAMOS - 1,,,Point (-71.63608440544085454 -33.04306402865728387),58,TOMAS RAMOS - 1,Consumer,,,,
,,,TREMOLEN,,,Point (-71.54919448420093886 -33.64607162708063726),137,TREMOLEN,Consumer,,,,
,,,TUNQUEN,,,Point (-71.64661223772237975 -33.24944184092238686),155,TUNQUEN,Consumer,,,,
,,,URMENETA,,,Point (-71.27208501516862782 -32.98201718877822231),178,URMENETA,Consumer,,,,
,,,URUGUAY,,,Point (-71.61140892131192004 -33.05519313856375163),62,URUGUAY,Consumer,,,,
,,,VILLA ALEMANA,,,Point (-71.38130766172314168 -33.04816872347834078),57,VILLA ALEMANA,Consumer,,,,
,,,VILLA DULCE,,,Point (-71.49730770092959631 -33.03422271882773487),37,VILLA DULCE,Consumer,,,,
,,,VILLANELO ALTO,,,Point (-71.56611389885932795 -33.03289882175231185),49,VILLANELO ALTO,Consumer,,,,
,,,VINA DEL MAR ALTO,,,Point (-71.53031260055016105 -33.03961963512389843),48,VINA DEL MAR ALTO,Consumer,,,,
,,,VINA DEL MAR ALTO - 1,,,Point (-71.53428392566020477 -33.05500702723566775),55,VINA DEL MAR ALTO - 1,Consumer,,,,
,,,VINA DEL MAR ALTO - 2,,,Point (-71.56188648764862137 -33.04298364909755747),56,VINA DEL MAR ALTO - 2,Consumer,,,,
,,,WILSON,,,Point (-71.35296969749774121 -33.03733605507630244),46,WILSON,Consumer,,,,
,,,ZANARTU,,,Point (-71.6900309834123135 -33.4046374682870848),187,ZANARTU,Consumer,,,,
,,,ACAPULCO,,,Point (-71.55301316965488923 -33.01357757376030833),30,ACAPULCO,Consumer,,,,
,,,ACHUPALLAS,,,Point (-71.49296080849860857 -33.02382174747796029),33,ACHUPALLAS,Consumer,,,,
,,,AGUA SANTA,,,Point (-71.57658487949008475 -33.04443707955135778),73,AGUA SANTA,Consumer,,,,
,,,AGUA SANTA - 1,,,Point (-71.54177314361746198 -33.09284304180564362),90,AGUA SANTA - 1,Consumer,,,,
,,,AGUA SANTA - 2,,,Point (-71.55311196434604426 -33.06258591412942849),79,AGUA SANTA - 2,Consumer,,,,
,,,AGUAS BUENAS,,,Point (-71.59959896448211225 -33.59326609048763856),151,AGUAS BUENAS,Consumer,,,,
,,,AGUAS CLARAS,,,Point (-70.84374848793025592 -33.310438523088024),171,AGUAS CLARAS,Consumer,,,,
,,,ALEJANDRO NAVARRETE,,,Point (-71.52823844079296123 -32.98746098377920788),24,ALEJANDRO NAVARRETE,Consumer,,,,
,,,ALGARROBO,,,Point (-71.65504675117689715 -33.36356923136444408),129,ALGARROBO,Consumer,,,,
,,,ALGARROBO NORTE,,,Point (-71.62678327536663403 -33.30423206434822703),154,ALGARROBO NORTE,Consumer,,,,
,,,ALVAREZ,,,Point (-71.54886301900351953 -33.03139577114684045),51,ALVAREZ,Consumer,,,,
,,,ARLEGUI,,,Point (-71.56105966384050987 -33.02270581515000458),34,ARLEGUI,Consumer,,,,
,,,ARTIFICIO,,,Point (-71.1887980781675509 -32.77297051531107286),167,ARTIFICIO,Consumer,,,,
,,,BALANDRAS,,,Point (-71.68192148751246862 -33.37815240173122078),172,BALANDRAS,Consumer,,,,
,,,BARON,,,Point (-71.59900345121137377 -33.04340487019683792),72,BARON,Consumer,,,,
,,,BARRANCAS,,,Point (-71.62930287297086807 -33.64209731557851768),209,BARRANCAS,Consumer,,,,
,,,BATUCO,,,Point (-70.84853426122624853 -33.24765789369958213),193,BATUCO,Consumer,,,,
,,,BOCO,,,Point (-71.26450704830908478 -32.863548762612254),176,BOCO,Consumer,,,,
,,,BOSQUE,,,Point (-71.55439627432147631 -33.12216810750950202),96,BOSQUE,Consumer,,,,
,,,BRASIL,,,Point (-71.60876626935464628 -33.0433647273592328),71,BRASIL,Consumer,,,,
,,,CAMPICHE,,,Point (-71.48466236274173013 -32.72837559033826693),165,CAMPICHE,Consumer,,,,
,,,CARTAGENA,,,Point (-71.59186680086729382 -33.54972421322937493),132,CARTAGENA,Consumer,,,,
,,,CASABLANCA,,,Point (-71.40942381998176813 -33.3300627047457354),135,CASABLANCA,Consumer,,,,
,,,CHOROMBO,,,Point (-71.25774549730716956 -33.50442952165555255),211,CHOROMBO,Consumer,,,,
,,,COLINA,,,Point (-70.70327872307682071 -33.20498846006913851),206,COLINA,Consumer,,,,
,,,CONCON,,,Point (-71.48001314451207122 -32.92551382470023214),10,CONCON,Consumer,,,,
,,,CUNCUMEN,,,Point (-71.48625793448992738 -33.69953154023419728),143,CUNCUMEN,Consumer,,,,
,,,CURACAVI,,,Point (-71.14275959522875326 -33.39620547403148265),203,CURACAVI,Consumer,,,,
,,,CURAUMA,,,Point (-71.58033752569966168 -33.11948742033719384),94,CURAUMA,Consumer,,,,
,,,CURAUMA - 1,,,Point (-71.57184488282369728 -33.11301795037342544),97,CURAUMA - 1,Consumer,,,,
,,,EL ALGARROBAL,,,Point (-70.71848314872667629 -33.31333492490961845),191,EL ALGARROBAL,Consumer,,,,
,,,EL ASIENTO,,,Point (-70.9289370373659267 -33.08546727121301245),198,EL ASIENTO,Consumer,,,,
,,,EL BOSQUE,,,Point (-71.541802866117294 -33.01099583738675847),31,EL BOSQUE,Consumer,,,,
,,,EL CARMEN,,,Point (-71.38422824701383718 -33.03568738803963356),45,EL CARMEN,Consumer,,,,
,,,EL RINCON,,,Point (-71.35206392995615943 -33.05300765400784258),64,EL RINCON,Consumer,,,,
,,,EL ROSARIO,,,Point (-71.459452371371043 -33.50029582243737281),164,EL ROSARIO,Consumer,,,,
,,,EL SOL,,,Point (-71.46365020743735386 -33.05100947569103198),63,EL SOL,Consumer,,,,
,,,EL TABO,,,Point (-71.64387969792723254 -33.45778056200853712),128,EL TABO,Consumer,,,,
,,,EL TURCO,,,Point (-71.44772644233049164 -33.74058518139488427),144,EL TURCO,Consumer,,,,
,,,EXPRESO BAQUEDANO,,,Point (-71.60611498688190579 -33.04830530873645245),66,EXPRESO BAQUEDANO,Consumer,,,,
,,,EXPRESO RPC,,,Point (-71.48431082362480993 -32.89861582075801749),7,EXPRESO RPC,Consumer,,,,
,,,FERROCARRIL,,,Point (-71.33250229412674059 -32.96683586789451681),200,FERROCARRIL,Consumer,,,,
,,,FORESTAL,,,Point (-71.53942480859933539 -33.03875191679259871),47,FORESTAL,Consumer,,,,
,,,FRANCIA,,,Point (-71.61261268840546279 -33.04783456332572911),59,FRANCIA,Consumer,,,,
,,,FREIRE,,,Point (-71.39391803988988272 -33.0478100376191577),74,FREIRE,Consumer,,,,
,,,GLORIAS NAVALES,,,Point (-71.48815742141954388 -32.99492095517275203),27,GLORIAS NAVALES,Consumer,,,,
,,,GOMEZ CARRENO,,,Point (-71.50698222223655875 -32.99413842974907851),28,GOMEZ CARRENO,Consumer,,,,
,,,GRANIZO,,,Point (-71.142591424722184 -33.01922188240313005),182,GRANIZO,Consumer,,,,
,,,HIGUERILLAS,,,Point (-71.49969629709640628 -32.92536730622885699),11,HIGUERILLAS,Consumer,,,,
,,,HIJUELAS,,,Point (-71.14909901990287722 -32.80952283180995011),207,HIJUELAS,Consumer,,,,
,,,HIPODROMO,,,Point (-71.26343813973137742 -33.02236499333722008),179,HIPODROMO,Consumer,,,,
,,,HUANHUALI,,,Point (-71.36632663889751882 -33.04948635901540399),65,HUANHUALI,Consumer,,,,
,,,HUENCHUN,,,Point (-71.24762684816012381 -33.71673877363677718),145,HUENCHUN,Consumer,,,,
,,,INDEPENDENCIA,,,Point (-71.62028617919635565 -33.0490854563039278),61,INDEPENDENCIA,Consumer,,,,
,,,JORGE MONTT,,,Point (-71.5411234397473379 -32.9863388473867829),23,JORGE MONTT,Consumer,,,,
,,,LA CRUZ,,,Point (-71.23086533081658445 -32.80339806986378193),208,LA CRUZ,Consumer,,,,
,,,LA DORMIDA,,,Point (-71.08973702688271601 -33.08449429007298193),186,LA DORMIDA,Consumer,,,,
,,,LA PALMILLA,,,Point (-71.2197924772635389 -32.85564202118604271),169,LA PALMILLA,Consumer,,,,
,,,LA POLVORA,,,Point (-71.64477104542281438 -33.05589636276027221),81,LA POLVORA,Consumer,,,,
,,,LA TRINIDAD,,,Point (-71.23331037153215561 -33.05581841291687084),184,LA TRINIDAD,Consumer,,,,
,,,LA VINILLA,,,Point (-71.29989546914758591 -33.37208843549861825),161,LA VINILLA,Consumer,,,,
,,,LAGUNILLAS,,,Point (-71.43215764009913471 -33.44476205600513197),163,LAGUNILLAS,Consumer,,,,
,,,LAS CRUCES,,,Point (-71.6132978710545558 -33.49986650626627949),131,LAS CRUCES,Consumer,,,,
,,,LAS CUCHARAS,,,Point (-71.49674600961895976 -33.05395671848391714),69,LAS CUCHARAS,Consumer,,,,
,,,LAS DICHAS,,,Point (-71.49675511299740549 -33.30093625765975673),156,LAS DICHAS,Consumer,,,,
,,,LAS MAZAS,,,Point (-70.90407249237658505 -32.88234743804996185),174,LAS MAZAS,Consumer,,,,
,,,LAS PALMAS,,,Point (-71.42577684584044562 -33.56159922027311637),140,LAS PALMAS,Consumer,,,,
,,,LAS PINATAS,,,Point (-71.62051147941132001 -33.38922439691749844),204,LAS PINATAS,Consumer,,,,
,,,LEYDA,,,Point (-71.40791426453131407 -33.62585101099924145),139,LEYDA,Consumer,,,,
,,,LILENES,,,Point (-71.53862479046001965 -32.93605308772041695),18,LILENES,Consumer,,,,
,,,LIRAY,,,Point (-70.78159867957486995 -33.21140558268731979),205,LIRAY,Consumer,,,,
,,,LLAILLAY,,,Point (-70.98316815168431049 -32.83781170450677678),173,LLAILLAY,Consumer,,,,
,,,LLOLLEO,,,Point (-71.60283920813564862 -33.61472003223984473),199,LLOLLEO,Consumer,,,,
,,,LO AGUIRRE,,,Point (-70.85449518336378105 -33.45479963764708486),188,LO AGUIRRE,Consumer,,,,
,,,LO OROZCO,,,Point (-71.42926036230750242 -33.2481290383132233),158,LO OROZCO,Consumer,,,,
,,,LO ORREGO,,,Point (-71.42464728632374715 -33.39056114764772332),162,LO ORREGO,Consumer,,,,
,,,LO OVALLE,,,Point (-71.35538263062846909 -33.26896175961880431),159,LO OVALLE,Consumer,,,,
,,,LONCURA,,,Point (-71.43237127302749911 -32.81079503640772543),5,LONCURA,Consumer,,,,
,,,LUMBRERAS,,,Point (-71.28899357567613038 -33.63971035601078796),147,LUMBRERAS,Consumer,,,,
,,,MAITENES,,,Point (-71.51190083050541091 -32.8087309384415633),6,MAITENES,Consumer,,,,
,,,MALLARAUCO,,,Point (-71.12915417339216617 -33.57915428100419319),150,MALLARAUCO,Consumer,,,,
,,,MALVILLA,,,Point (-71.48316178975262858 -33.60078068696831366),142,MALVILLA,Consumer,,,,
,,,MANANTIALES,,,Point (-71.51927701812671501 -32.92514675213254804),9,MANANTIALES,Consumer,,,,
,,,MARGA MARGA,,,Point (-71.40533731736005052 -33.06094276043577906),78,MARGA MARGA,Consumer,,,,
,,,MELIPILLA,,,Point (-71.20665527921669025 -33.67741044216179347),146,MELIPILLA,Consumer,,,,
,,,MONTEMAR,,,Point (-71.53252605473250014 -32.96629958528816218),22,MONTEMAR,Consumer,,,,
,,,MONTENEGRO,,,Point (-70.79696595008773841 -32.96020996192265073),197,MONTENEGRO,Consumer,,,,
,,,NOGALES,,,Point (-71.26259661183630101 -32.73661285069240279),166,NOGALES,Consumer,,,,
,,,NUEVO PORVENIR,,,Point (-70.81990494068507758 -33.28734524172217135),192,NUEVO PORVENIR,Consumer,,,,
,,,OLMUE,,,Point (-71.2150374036685605 -32.99553187067662918),181,OLMUE,Consumer,,,,
,,,PACHACAMA,,,Point (-71.0791197201948961 -32.8544278546330446),170,PACHACAMA,Consumer,,,,
,,,PACIFICO,,,Point (-71.64812830272121857 -33.03124750749939409),44,PACIFICO,Consumer,,,,
,,,PASO HONDO,,,Point (-71.42567128629045214 -33.05055969678544159),75,PASO HONDO,Consumer,,,,
,,,PELUMPEN,,,Point (-71.17627492861768701 -33.03718741085392452),185,PELUMPEN,Consumer,,,,
,,,PENABLANCA,,,Point (-71.40641027945889618 -33.03610895389153512),38,PENABLANCA,Consumer,,,,
,,,PENUELAS,,,Point (-71.56596824969594195 -33.11924331088465578),95,PENUELAS,Consumer,,,,
,,,PERALILLO,,,Point (-70.86949601268487697 -33.36406968349326263),201,PERALILLO,Consumer,,,,
,,,PESQUERAS,,,Point (-71.62225743222887786 -33.57850202929483885),134,PESQUERAS,Consumer,,,,
,,,PITAMA,,,Point (-71.51757557062401816 -33.23632796281673762),157,PITAMA,Consumer,,,,
,,,PLACERES,,,Point (-71.5914342528489982 -33.03793537184753148),40,PLACERES,Consumer,,,,
,,,PLACILLA,,,Point (-71.59072762812142798 -33.0651370265829172),82,PLACILLA,Consumer,,,,
,,,PLAYA ANCHA,,,Point (-71.63742402543023502 -33.03044358434708982),41,PLAYA ANCHA,Consumer,,,,
,,,POLPAICO,,,Point (-70.86470175213358402 -33.13517918638720516),195,POLPAICO,Consumer,,,,
,,,POMAIRE,,,Point (-71.15034635619174708 -33.65030679111630718),148,POMAIRE,Consumer,,,,
