name,bus0,bus1,x,r,s_nom,Nemotecnico,Nombre,Nombre Linea,Nombre Tramo
576_1,200_66kV,1106,2.84,2.22,54.84,LT009---------R003-1,LAGUNA VERDE - TAP QUINTAY 66KV C1 y C2,LAGUNA VERDE - SAN ANTONIO 66KV,LAGUNA VERDE - TAP QUINTAY 66KV C1 y C2
785,1106,793,1.09,0.79,30.37,LT009CI1TR06R003ST01R003,TAP QUINTAY - QUINTAY 66KV C1,LAGUNA VERDE - SAN ANTONIO 66KV,TAP QUINTAY - QUINTAY 66KV C1
576_2,1106,775,2.86,2.23,54.84,LT009---------R003-2,TAP QUINTAY - ALGARROBO NORTE 66KV C1 y C2,LAGUNA VERDE - SAN ANTONIO 66KV,TAP QUINTAY - ALGARROBO NORTE 66KV C1 y C2
576_3,775,1099,0.77,0.60,54.84,LT009---------R003-3,ALGARROBO NORTE - TAP ALGARROBO 66KV C1 y C2,LAGUNA VERDE - SAN ANTONIO 66KV,ALGARROBO NORTE - TAP ALGARROBO 66KV C1 y C2
576_3B,1099,777,4.02,3.75,49.58,LT009---------R003-3B,TAP ALGARROBO - CASABLANCA 66KV C1 y C2,LAGUNA VERDE - SAN ANTONIO 66KV,TAP ALGARROBO - CASABLANCA 66KV C1 y C2
576_4,1099,73T,3.40,2.66,54.84,LT009---------R003-4,TAP ALGARROBO - TAP SAN SEBASTIAN 66KV C1 y C2,LAGUNA VERDE - SAN ANTONIO 66KV,TAP ALGARROBO - TAP SAN SEBASTIAN 66KV C1 y C2
576_4B,73T,802,0.43,0.31,30,LT009---------R003-4B,TAP SAN SEBASTIAN - SAN SEBASTIAN 66KV C1 y C2,LAGUNA VERDE - SAN ANTONIO 66KV,TAP SAN SEBASTIAN - SAN SEBASTIAN 66KV C2
576_5,73T,798,2.38,1.84,54.84,LT009---------R003-5,TAP SAN SEBASTIAN - SAN ANTONIO 66KV C1 y C2,LAGUNA VERDE - SAN ANTONIO 66KV,TAP SAN SEBASTIAN - SAN ANTONIO 66KV C1 y C2
735,1099,848,0.004,0.005,25.35,LT001CI1TR04R020ST01R020,TAP ALGARROBO - SAN JERONIMO 66KV C1,TAP ALGARROBO - LAS BALANDRAS 66KV,TAP ALGARROBO - SAN JERONIMO 66KV C1
728,848,847,1.07,1.37,25.35,LT001CI1TR03R020ST01R020,SAN JERONIMO - TAP LAS PINATAS 66KV C1,TAP ALGARROBO - LAS BALANDRAS 66KV,SAN JERONIMO - TAP LAS PINATAS 66KV C1
751,847,1114,0.72,0.91,25.35,LT001CI1TR01R020ST01R020,TAP LAS PINATAS - TAP EL MANZANO 66KV C1,TAP ALGARROBO - LAS BALANDRAS 66KV,TAP LAS PINATAS - TAP EL MANZANO 66KV C1
753,1114,846,1.70,2.15,25.35,LT001CI1TR05R020ST01R020,TAP EL MANZANO - LAS BALANDRAS 66KV C1,TAP ALGARROBO - LAS BALANDRAS 66KV,TAP EL MANZANO - LAS BALANDRAS 66KV C1
752,1114,845,2.35,2.94,27.79,LT001CI1TR02R020ST01R020,TAP EL MANZANO - EL TOTORAL 66KV C1,TAP ALGARROBO - LAS BALANDRAS 66KV,TAP EL MANZANO - EL TOTORAL 66KV C1
850,643,798_110kV,6.58,1.92,126.32,LT026CI1TR04R003ST01R003,LEYDA - SAN ANTONIO 110KV C2,LEYDA - SAN ANTONIO 110KV,LEYDA - SAN ANTONIO 110KV C2
1652,776_110kV,798_110kV,16.53,4.81,126.32,LT034CI1TR01R003ST01R003,ALTO MELIPILLA - SAN ANTONIO 110KV C1,ALTO MELIPILLA - SAN ANTONIO 110KV,ALTO MELIPILLA - SAN ANTONIO 110KV C1
779,776_110kV,643,9.96,2.90,126.32,LT008CI1TR04R003ST01R003,ALTO MELIPILLA - LEYDA 110KV C2,ALTO MELIPILLA - LEYDA 110KV,ALTO MELIPILLA - LEYDA 110KV C2
588,62T,776,0.19,0.06,203.24,LT007---------R003,TAP ALTO MELIPILLA - ALTO MELIPILLA 220KV C1 y C2,TAP ALTO MELIPILLA - ALTO MELIPILLA 220KV,TAP ALTO MELIPILLA - ALTO MELIPILLA 220KV C1 y C2
212,62T,1746,9.52,2.07,197.39,LT020---------T002,TAP ALTO MELIPILLA - LO AGUIRRE 220KV C1 y C2,RAPEL - LO AGUIRRE 220KV,TAP ALTO MELIPILLA - LO AGUIRRE 220KV C1 y C2
856,1746,565,4.01,0.87,197.39,LT101---------T002,LO AGUIRRE - CERRO NAVIA 220KV,LO AGUIRRE - CERRO NAVIA 220KV,LO AGUIRRE - CERRO NAVIA 220KV
146,565,711,6.36,1.43,310.18,LT017---------T002,CERRO NAVIA - POLPAICO 220KV,CERRO NAVIA - POLPAICO 220KV,CERRO NAVIA - POLPAICO 220KV
203,711,586,7.87,0.465,1098.95,LT016---------T002,POLPAICO - QUILLOTA 220KV C1 y C2,POLPAICO - QUILLOTA 220KV,POLPAICO - QUILLOTA 220KV C1 y C2
210,586,605,5.86,1.26,223.68,LT015---------T002,QUILLOTA - NOGALES 220KV C1 y C2,QUILLOTA - NOGALES 220KV,QUILLOTA - NOGALES 220KV C1 y C2
41,240,605,4.55,0.55,29.86,LT013---------G010,PORTAL MUFAS LAT VENTANAS NOGALES - NOGALES 220KV C1 y C2,NUEVA VENTANAS - NOGALES 220KV,PORTAL MUFAS LAT VENTANAS NOGALES - NOGALES 220KV C1 y C2
934,565,26T,3.91,0.93,152.23,LT066---------T048,CERRO NAVIA - TAP BATUCO 110KV C1 y C2,CERRO NAVIA - CENTRAL SANTIAGO SOLAR 110KV,CERRO NAVIA - TAP BATUCO 110KV C1 y C2
